,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
7014,Brooklyn,Entire home/apt,125,Entire Unit,4,1.0,1.0
7019,Brooklyn,Entire home/apt,200,Entire Unit,5,2.0,1.0
7024,Manhattan,Entire home/apt,163,Entire Unit,3,1.0,1.0
7025,Manhattan,Entire home/apt,225,Entire Unit,3,1.0,1.0
7029,Brooklyn,Entire home/apt,170,Entire Unit,7,4.0,1.0
7035,Brooklyn,Entire home/apt,150,Entire Unit,4,2.0,1.0
7037,Manhattan,Private room,65,Private Room,2,1.0,1.0
7039,Queens,Private room,60,Private Room,1,1.0,1.0
7040,Queens,Private room,33,Private Room,1,1.0,1.0
7044,Manhattan,Entire home/apt,150,Entire Unit,2,0.0,1.0
7047,Manhattan,Entire home/apt,115,Entire Unit,5,2.0,1.0
7049,Manhattan,Entire home/apt,95,Entire Unit,4,1.0,1.0
7052,Brooklyn,Private room,70,Private Room,1,1.0,1.5
7053,Manhattan,Entire home/apt,128,Entire Unit,4,1.0,1.0
7054,Queens,Entire home/apt,75,Entire Unit,4,2.0,1.0
7055,Manhattan,Entire home/apt,280,Entire Unit,3,1.0,1.0
7056,Manhattan,Entire home/apt,250,Entire Unit,3,0.0,1.0
7070,Brooklyn,Entire home/apt,196,Entire Unit,6,2.0,2.5
7075,Brooklyn,Private room,165,Private Room,2,1.0,1.5
7078,Manhattan,Private room,120,Entire Unit,2,1.0,1.0
7083,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
7085,Brooklyn,Private room,45,Private Room,2,1.0,1.0
7087,Manhattan,Private room,50,Private Room,3,1.0,1.0
7091,Manhattan,Entire home/apt,150,Entire Unit,3,0.0,1.0
7093,Staten Island,Entire home/apt,78,Entire Unit,2,1.0,1.0
7094,Brooklyn,Entire home/apt,219,Entire Unit,4,2.0,1.0
7097,Queens,Private room,58,Private Room,2,1.0,1.0
7098,Queens,Private room,58,Private Room,2,1.0,1.0
7099,Queens,Private room,60,Private Room,1,1.0,1.0
7104,Manhattan,Entire home/apt,169,Entire Unit,3,1.0,1.0
7105,Manhattan,Entire home/apt,142,Entire Unit,3,2.0,1.0
7111,Bronx,Shared room,130,Shared Room,3,1.0,1.0
7117,Manhattan,Private room,49,Entire Unit,5,3.0,1.0
7118,Manhattan,Entire home/apt,220,Entire Unit,2,1.0,1.0
7119,Manhattan,Private room,220,Private Room,2,1.0,1.0
7120,Queens,Entire home/apt,100,Entire Unit,2,0.0,1.0
7122,Manhattan,Entire home/apt,199,Entire Unit,3,1.0,1.0
7125,Manhattan,Entire home/apt,150,Entire Unit,3,1.0,1.0
7129,Brooklyn,Private room,100,Private Room,1,1.0,1.0
7135,Brooklyn,Entire home/apt,125,Entire Unit,3,1.0,1.0
7140,Brooklyn,Entire home/apt,178,Entire Unit,4,2.0,1.0
7141,Queens,Entire home/apt,170,Entire Unit,5,2.0,1.0
7144,Manhattan,Private room,70,Private Room,1,1.0,1.0
7145,Manhattan,Entire home/apt,170,Entire Unit,4,1.0,2.0
7148,Manhattan,Entire home/apt,150,Entire Unit,4,2.0,1.0
7150,Brooklyn,Entire home/apt,175,Entire Unit,3,1.0,1.0
7152,Brooklyn,Entire home/apt,50,Entire Unit,2,1.0,1.0
7156,Brooklyn,Private room,50,Private Room,2,1.0,1.0
7160,Manhattan,Private room,75,Private Room,1,1.0,1.0
7161,Brooklyn,Private room,140,Private Room,2,1.0,1.0
7162,Manhattan,Entire home/apt,245,Entire Unit,3,1.0,1.0
7163,Manhattan,Entire home/apt,179,Entire Unit,2,0.0,1.0
7166,Manhattan,Entire home/apt,115,Entire Unit,3,0.0,1.0
7170,Brooklyn,Private room,90,Private Room,2,1.0,1.0
7171,Manhattan,Entire home/apt,163,Entire Unit,4,2.0,1.0
7172,Manhattan,Entire home/apt,199,Entire Unit,3,1.0,1.0
7177,Manhattan,Entire home/apt,175,Entire Unit,2,1.0,1.0
7181,Manhattan,Entire home/apt,140,Entire Unit,4,1.0,1.0
7183,Brooklyn,Entire home/apt,90,Entire Unit,2,0.0,1.0
7185,Brooklyn,Private room,125,Private Room,2,1.0,1.0
7186,Manhattan,Entire home/apt,230,Entire Unit,2,0.0,1.0
7187,Brooklyn,Private room,69,Private Room,1,1.0,1.0
7193,Brooklyn,Private room,109,Private Room,2,1.0,1.0
7197,Manhattan,Entire home/apt,165,Entire Unit,3,1.0,1.0
7198,Brooklyn,Entire home/apt,175,Entire Unit,2,1.0,1.0
7201,Manhattan,Entire home/apt,90,Entire Unit,3,0.0,1.0
7203,Bronx,Entire home/apt,67,Private Room,2,1.0,1.0
7205,Brooklyn,Private room,100,Private Room,1,1.0,1.0
7206,Manhattan,Entire home/apt,138,Entire Unit,2,1.0,1.0
7211,Brooklyn,Entire home/apt,175,Entire Unit,4,1.0,1.0
7212,Manhattan,Entire home/apt,225,Entire Unit,2,1.0,1.0
7214,Manhattan,Entire home/apt,202,Entire Unit,6,2.0,2.0
7216,Brooklyn,Private room,75,Private Room,1,1.0,1.0
7217,Manhattan,Entire home/apt,100,Entire Unit,1,1.0,1.0
7223,Brooklyn,Entire home/apt,300,Entire Unit,4,3.0,1.5
7224,Manhattan,Entire home/apt,119,Entire Unit,1,0.0,1.0
7226,Brooklyn,Entire home/apt,99,Entire Unit,4,0.0,1.0
7227,Manhattan,Private room,62,Private Room,2,1.0,2.0
7228,Manhattan,Private room,180,Private Room,1,1.0,1.0
7230,Brooklyn,Private room,65,Private Room,2,1.0,1.0
