id,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds
40283370,Private room in rental unit,Private room,2,2 baths,1,1
40283716,Entire rental unit,Entire home/apt,3,1.5 baths,1,1
40289316,Private room in home,Private room,2,1 shared bath,1,1
40292818,Entire guesthouse,Entire home/apt,4,1 bath,1,2
40300360,Entire rental unit,Entire home/apt,3,1 bath,1,2
40301903,Entire rental unit,Entire home/apt,3,1 bath,,2
40302355,Entire rental unit,Entire home/apt,2,1 bath,1,1
40304217,Private room in rental unit,Private room,2,1 shared bath,1,1
40304242,Entire rental unit,Entire home/apt,5,1 bath,,1
40305212,Entire rental unit,Entire home/apt,4,1 bath,2,2
40305281,Private room in rental unit,Private room,1,1 bath,1,
40305632,Private room in rental unit,Private room,1,1 shared bath,1,
40306639,Entire rental unit,Entire home/apt,3,1 bath,1,2
40307183,Private room in rental unit,Private room,2,1 shared bath,1,1
40307620,Entire rental unit,Entire home/apt,2,1 bath,1,1
40308991,Entire rental unit,Entire home/apt,2,1 bath,1,1
40310349,Entire rental unit,Entire home/apt,3,1 bath,,2
40316335,Private room in rental unit,Private room,2,1 shared bath,1,1
40316923,Private room in home,Private room,1,1 shared bath,1,1
40319389,Private room in rental unit,Private room,1,1 bath,1,1
40320773,Private room in townhouse,Private room,2,1.5 shared baths,1,
40322029,Private room in rental unit,Private room,2,1 bath,,1
40322951,Private room in home,Private room,1,1 shared bath,1,1
40324958,Entire loft,Entire home/apt,2,2 baths,,1
40325387,Private room in rental unit,Private room,2,2 shared baths,1,1
40325977,Private room in rental unit,Private room,1,1 shared bath,1,1
40330238,Private room in rental unit,Private room,2,1 shared bath,1,1
40331482,Entire rental unit,Entire home/apt,6,1 bath,2,3
40331889,Entire townhouse,Entire home/apt,2,2 baths,1,1
40332564,Entire rental unit,Entire home/apt,2,1 bath,1,1
40335341,Entire rental unit,Entire home/apt,4,1 bath,,2
40335381,Private room in home,Private room,2,2 shared baths,1,1
40335468,Entire rental unit,Entire home/apt,6,1 bath,3,4
40337032,Entire rental unit,Entire home/apt,4,1 bath,1,2
40339270,Private room in rental unit,Private room,2,1 shared bath,1,1
40339942,Entire rental unit,Entire home/apt,4,1 bath,2,3
40341041,Entire rental unit,Entire home/apt,2,1 bath,1,1
40342902,Private room in rental unit,Private room,1,1 shared bath,1,1
40343900,Entire rental unit,Entire home/apt,2,1 bath,1,1
40344826,Private room in condo,Private room,3,1 shared bath,1,1
40345364,Entire rental unit,Entire home/apt,2,1 bath,,1
40345464,Entire home,Entire home/apt,6,2 baths,2,3
40345720,Entire rental unit,Entire home/apt,2,1 bath,,1
40346585,Entire rental unit,Entire home/apt,6,1 bath,2,2
40347137,Private room in rental unit,Private room,2,1 bath,1,1
40347199,Entire rental unit,Entire home/apt,10,3 baths,4,7
40348702,Entire rental unit,Entire home/apt,2,1 bath,1,1
40349244,Entire home,Entire home/apt,2,1 bath,1,1
40350195,Entire rental unit,Entire home/apt,4,1 bath,1,2
40350292,Entire loft,Entire home/apt,2,1 bath,1,1
40351436,Private room in rental unit,Private room,1,1.5 baths,1,1
40357574,Entire rental unit,Entire home/apt,4,1 bath,,1
40365807,Entire rental unit,Entire home/apt,16,2 baths,2,2
40367448,Private room in rental unit,Private room,2,1 shared bath,1,1
40368139,Entire rental unit,Entire home/apt,2,1 bath,1,1
40368174,Private room in rental unit,Private room,4,1 shared bath,1,1
40369842,Private room in rental unit,Private room,1,1 shared bath,1,1
40369846,Shared room in rental unit,Shared room,10,1 shared bath,1,3
40371175,Entire rental unit,Entire home/apt,3,1 bath,1,1
40372320,Private room in rental unit,Private room,1,2 shared baths,1,1
40373080,Private room in rental unit,Private room,2,1 shared bath,1,1
40374871,Private room in rental unit,Private room,2,1 shared bath,1,1
40376349,Entire guesthouse,Entire home/apt,4,1 bath,2,2
40376779,Entire loft,Entire home/apt,2,1 bath,,1
40378343,Private room in rental unit,Private room,2,1 shared bath,1,1
40380307,Entire rental unit,Entire home/apt,5,1 bath,3,3
40394315,Private room in rental unit,Private room,2,2 baths,1,1
40394743,Private room in rental unit,Private room,2,2 baths,1,1
40395857,Private room in rental unit,Private room,4,1 private bath,1,2
