,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
11119,Brooklyn,Entire home/apt,Entire Unit,3,2.0,1.0,4.875197323201151
11121,Brooklyn,Entire home/apt,Entire Unit,5,3.0,1.0,5.703782474656201
11123,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,5.298317366548036
11128,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.700480365792417
11131,Queens,Private room,Private Room,2,1.0,1.0,4.382026634673881
11132,Queens,Private room,Private Room,3,1.0,1.0,4.584967478670572
11133,Queens,Private room,Private Room,4,1.0,1.0,4.787491742782046
11135,Bronx,Private room,Private Room,2,1.0,1.0,3.8066624897703196
11136,Queens,Shared room,Shared Room,2,1.0,1.0,3.713572066704308
11142,Brooklyn,Private room,Private Room,1,1.0,1.0,3.5553480614894135
11145,Manhattan,Entire home/apt,Entire Unit,1,0.0,1.0,5.0106352940962555
11147,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,4.997212273764115
11148,Manhattan,Private room,Private Room,1,1.0,1.0,4.007333185232471
11153,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,4.882801922586371
11156,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.700443573390687
11159,Manhattan,Private room,Private Room,2,1.0,1.5,4.0943445622221
11161,Brooklyn,Private room,Private Room,2,1.0,1.0,4.31748811353631
11162,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.51085950651685
11166,Bronx,Entire home/apt,Entire Unit,5,2.0,1.0,4.605170185988092
11167,Bronx,Private room,Private Room,2,1.0,1.0,4.007333185232471
11169,Brooklyn,Entire home/apt,Entire Unit,6,3.0,1.5,4.859812404361672
11172,Brooklyn,Private room,Private Room,2,1.0,1.5,3.912023005428146
11174,Brooklyn,Private room,Private Room,2,1.0,1.0,3.8066624897703196
11176,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.955827057601261
11177,Queens,Private room,Entire Unit,4,1.0,1.0,3.912023005428146
11178,Brooklyn,Entire home/apt,Entire Unit,5,2.0,2.0,5.41610040220442
11180,Queens,Private room,Private Room,1,1.0,1.0,3.367295829986474
11181,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.442651256490317
11185,Manhattan,Entire home/apt,Entire Unit,4,2.0,2.0,5.3471075307174685
11187,Brooklyn,Private room,Private Room,1,1.0,1.5,3.912023005428146
11188,Manhattan,Private room,Private Room,3,1.0,1.0,5.521460917862246
11193,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.075173815233827
11194,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
11196,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.6913478822291435
11197,Manhattan,Entire home/apt,Entire Unit,6,2.0,1.0,5.517452896464707
11198,Brooklyn,Private room,Private Room,1,1.0,1.0,4.02535169073515
11201,Brooklyn,Private room,Private Room,2,1.0,1.0,4.02535169073515
11202,Manhattan,Entire home/apt,Entire Unit,4,2.0,1.0,5.298317366548036
11205,Brooklyn,Entire home/apt,Entire Unit,6,2.0,2.0,5.272999558563747
11207,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.8283137373023015
11211,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.298317366548036
11213,Brooklyn,Shared room,Shared Room,1,1.0,1.0,3.6888794541139363
11215,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.0106352940962555
11216,Manhattan,Private room,Private Room,2,1.0,1.0,4.3694478524670215
11217,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.007333185232471
11223,Brooklyn,Private room,Private Room,1,1.0,1.0,4.02535169073515
11225,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.499809670330265
11227,Queens,Entire home/apt,Private Room,2,1.0,1.0,4.90527477843843
11228,Brooklyn,Private room,Private Room,2,1.0,1.0,4.59511985013459
11229,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,4.787491742782046
11233,Queens,Entire home/apt,Entire Unit,6,1.0,1.0,4.382026634673881
11237,Queens,Private room,Private Room,1,1.0,1.0,3.912023005428146
11239,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.6240175061873385
11240,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.59511985013459
11246,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.941642422609304
11252,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.8283137373023015
11263,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.48863636973214
11264,Brooklyn,Private room,Private Room,2,1.0,1.0,4.007333185232471
11265,Brooklyn,Private room,Private Room,2,1.0,1.0,4.174387269895637
11266,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,4.90527477843843
11272,Brooklyn,Entire home/apt,Entire Unit,2,1.0,2.0,4.605170185988092
11283,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.783825182329737
11285,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,5.017279836814924
11292,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.0106352940962555
11293,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.0106352940962555
11297,Staten Island,Private room,Private Room,2,1.0,1.0,4.31748811353631
11298,Brooklyn,Private room,Entire Unit,2,1.0,1.0,5.0106352940962555
11302,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.605170185988092
11306,Brooklyn,Private room,Private Room,2,1.0,1.0,4.174387269895637
11307,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.700480365792417
11309,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
11312,Manhattan,Private room,Private Room,1,1.0,1.0,4.382026634673881
11317,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.174387269895637
11321,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.003946305945459
11328,Queens,Private room,Private Room,1,1.0,1.0,4.605170185988092
11329,Manhattan,Private room,Private Room,2,1.0,1.0,4.430816798843313
