id,accommodates,bathrooms_text,bedrooms,beds
246916,2,1 bath,1,1
247562,2,1 private bath,1,1
248865,4,1 bath,1,2
248966,2,2 baths,1,1
249414,2,1 bath,1,1
249618,1,1 bath,1,1
249704,2,1 bath,1,1
249867,1,1 bath,1,1
250323,2,1 bath,1,1
250536,2,1 private bath,1,1
250537,6,2 baths,2,2
251277,1,2 baths,2,1
252865,1,1 shared bath,1,1
253332,5,2 baths,2,3
253466,4,1 bath,1,2
253471,4,1 bath,1,2
253475,4,1 bath,1,2
253590,2,1 private bath,1,1
253800,4,1 bath,1,2
253803,4,1 bath,1,2
253806,4,1 bath,1,2
253811,4,1 bath,1,2
253815,4,1 bath,1,2
253828,4,1 private bath,1,2
253839,4,1 private bath,1,2
253842,4,1 private bath,1,2
253846,2,1 private bath,1,1
253988,3,1 private bath,1,
254168,6,1 private bath,2,3
254409,3,,1,1
255476,2,2 baths,2,2
255601,4,1 bath,2,2
255957,4,2 baths,2,2
257097,3,1 bath,2,2
258688,3,1 bath,1,1
258690,3,1 bath,2,2
258740,2,1 shared bath,1,1
258838,10,1.5 baths,3,6
258930,3,1 bath,1,1
260672,2,1 bath,1,1
260755,4,1 bath,1,2
261259,2,1 bath,1,1
261674,2,1 bath,1,1
261781,4,2 baths,2,2
262405,2,1 bath,1,1
262478,2,1 shared bath,1,1
262583,4,1 bath,2,2
263005,4,1 bath,3,3
263502,2,1 bath,1,1
265036,2,1 shared bath,1,1
265145,2,1 bath,,1
265506,6,1 bath,2,3
266449,4,1 bath,2,2
266753,4,1 bath,2,2
267435,1,1 shared bath,1,1
267652,2,1 shared bath,1,1
268481,4,2 baths,2,2
268868,2,1 bath,1,1
269283,1,1 bath,1,1
269404,2,1 bath,1,1
269889,2,1 shared bath,1,1
270139,2,1 shared bath,1,1
270231,2,1 shared bath,1,2
270315,1,1 shared bath,1,1
270345,4,1 bath,1,1
271694,2,1 bath,1,1
272026,2,1 bath,1,2
272044,2,1 bath,1,1
274062,2,1 shared bath,1,1
274329,4,1 bath,1,1
274743,1,1 bath,,1
274995,2,1 bath,1,1
275976,5,1 bath,2,2
